subject	vocal.first	vocal.mid	vocal.last	vocal.test	vocal.post	vocal last.post	visual.first	visual.mid	visual.last	visual.test	visual.post	visual.last.post
daniela	0.75	0	0	6	0.59	0.295	1.84	1.12	0.63	1.47	0.58	0.605
farouk	0.71	0	0	3.04	0	0	1.79	0.29	1.79	5.64	1.71	1.75
hermanson	0.25	0	0	0.19	0	0	1.33	0	0.75	2.79	1.33	1.04
isaac	0	0	0	0	0	0	1.5	0.1	0	1.5	0	0
jerrywilk	0	0	0	0.5	0.5	0.25	3.5	5	3.5	4.5	4.75	4.125
punk	0.5	0	0	1.25	0	0	0	0.1	1.25	1.25	1.25	1.25
oatmeal	1.3	0	0	0.33	0	0	0.33	0	0	0.67	0	0
kristina	6.32	1.99	0.7	11.11	5.5	3.1	1.74	0.5	0.367	3.81	2.83	1.5985
